cropId,name,category
1,밀,곡류
2,벼,곡류
3,옥수수,곡류
4,보리,곡류
5,기장,곡류
6,조,곡류
7,수수,곡류
8,콩,콩류
9,팥,콩류
10,녹두,콩류
11,강낭콩,콩류
12,동부,콩류
13,감자,구근류
14,연근,구근류
15,당근,구근류
16,우엉,구근류
17,고구마,구근류
18,배추,채소
19,양배추,채소
20,시금치,채소
21,상추,채소
22,미나리,채소
23,콩나물,채소
24,숙주,채소
25,오이,채소
26,호박,채소
27,봄동,채소
28,파프리카,채소
29,가지,채소
30,무,채소
31,당근,채소
32,우엉,채소
33,토란,채소
34,고추,채소
35,마늘,채소
36,파,채소
37,양파,채소
38,생강,채소
39,파,채소
40,쪽파,채소
41,콜라비,채소
42,케일,채소
43,비트,채소
44,연근,채소
45,청겅채,채소
46,부추,채소
47,애호박,채소
48,단호박,채소
49,밤호박,채소
50,무청,채소
51,순무,채소
52,브로콜리,채소
53,피망,채소
54,로메인,채소
55,청겨자,채소
56,체리,과실류
57,망고,과실류
58,바나나,과실류
59,홍시,과실류
60,딸기,과실류
61,앵두,과실류
62,자두,과실류
63,토마토,과실류
64,참외,과실류
65,수박,과실류
66,멜론,과실류
67,샤인머스캣,과실류
68,유자,과실류
69,키위,과실류
70,레몬,과실류
71,코코넛,과실류
72,석류,과실류
73,파인애플,과실류
74,무화과,과실류
75,사과,과실류
76,배,과실류
77,복숭아,과실류
78,포도,과실류
79,감,종실류
80,귤,종실류
81,밤,종실류
82,호두,종실류
83,대추,종실류
84,잣,종실류
85,도토리,종실류
86,은행,종실류
87,산딸기,종실류
88,면화,특용작물
89,유채,특용작물
90,참깨,특용작물
91,들깨,특용작물
92,땅콩,특용작물
93,호프,특용작물
94,구기자,약용작물
95,길경,약용작물
96,당귀,약용작물
97,작약,약용작물
98,황기,약용작물
99,천궁,약용작물
100,지황,약용작물
101,시호,약용작물
102,오미자,약용작물
103,사삼,약용작물
104,연초,전매작물
105,인삼,전매작물
106,국화,화훼작물
107,장미,화훼작물
108,안개꽃,화훼작물
109,양송이버섯,버섯류
110,새송이버섯,버섯류
111,목이버섯,버섯류
112,만가닥버섯,버섯류
113,느타리버섯,버섯류
